period,date,one,two,three,four,five,six,special,
101000018,2012-03-02,15,06,45,31,02,21,24,
101000017,2012-02-28,30,47,36,43,02,32,49,
101000016,2012-02-24,17,43,02,15,06,13,04,
101000015,2012-02-21,42,32,39,46,21,02,19,
101000014,2012-02-17,15,30,26,38,44,14,19,
101000013,2012-02-14,21,45,02,11,33,19,40,
101000012,2012-02-10,43,16,41,29,19,05,37,
101000011,2012-02-07,33,41,27,07,22,39,13,
101000010,2012-02-03,08,34,32,05,20,35,17,
101000009,2012-01-31,11,19,15,33,14,01,42,
101000008,2012-01-27,40,20,34,21,22,03,44,
101000007,2012-01-24,29,21,44,08,38,45,20,
101000006,2012-01-20,22,44,30,39,10,12,09,
101000005,2012-01-17,22,04,42,46,10,35,32,
101000004,2012-01-13,48,36,46,22,42,43,21,
101000003,2012-01-10,03,21,47,27,23,45,40,
101000002,2012-01-06,14,41,23,10,35,46,19,
101000001,2012-01-03,34,09,26,19,38,40,37,
100000104,2011-12-30,15,28,37,13,12,30,03,
100000103,2011-12-27,01,08,30,23,32,24,14,
100000102,2011-12-23,40,17,27,31,06,48,28,
100000101,2011-12-20,26,07,34,09,05,27,08,
100000100,2011-12-16,41,31,10,36,44,35,34,
100000099,2011-12-13,48,23,36,02,30,44,24,
100000098,2011-12-09,37,38,40,45,39,10,18,
100000097,2011-12-06,38,14,18,03,13,22,06,
100000096,2011-12-02,23,39,45,31,37,27,06,
100000095,2011-11-29,07,01,35,36,11,14,10,
100000094,2011-11-25,10,43,30,08,36,27,48,
100000093,2011-11-22,40,37,46,41,21,16,27,
100000092,2011-11-18,12,11,16,10,45,15,19,
100000091,2011-11-15,46,21,42,35,12,19,40,
100000090,2011-11-11,36,29,20,19,04,32,30,
100000089,2011-11-08,02,40,39,11,35,22,36,
100000088,2011-11-04,21,14,08,07,02,38,11,
100000087,2011-11-01,21,04,07,29,13,14,22,
100000086,2011-10-28,24,05,33,36,27,15,01,
100000085,2011-10-25,02,05,33,28,44,24,04,
100000084,2011-10-21,20,35,33,43,41,34,04,
100000083,2011-10-18,46,19,44,32,08,04,21,
100000082,2011-10-14,07,26,23,39,08,21,28,
100000081,2011-10-11,06,34,18,43,02,33,28,
100000080,2011-10-07,01,30,16,06,13,33,03,
100000079,2011-10-04,08,49,29,26,15,02,03,
100000078,2011-09-30,10,44,11,34,48,24,31,
